rainfall_mm,temperature_c,road_condition,traffic_level,slope_risk,historical_incidents,previous_landslides,flood_risk,bridge_condition,disruption_probability,is_disrupted
50.9,11.3,1,0,64.7,4,2,0,0,33.9,0
9.9,10.7,1,1,33.5,6,2,1,0,20.6,0
105.3,27.4,2,1,27.5,6,3,1,0,31.6,0
5.0,26.0,1,1,83.9,6,4,1,1,40.5,0
281.7,22.7,0,0,72.1,2,0,0,2,48.3,0
96.2,14.6,2,0,69.1,2,4,1,0,42.5,0
14.4,18.8,2,2,56.6,8,3,0,2,43.8,0
0.4,21.4,0,2,51.5,2,0,0,1,24.2,0
109.8,13.4,0,1,27.6,6,1,0,0,23.2,0
79.8,18.6,0,1,79.1,1,2,0,0,31.4,0
84.9,26.9,0,1,59.0,3,2,2,0,37.6,0
95.9,31.6,3,0,68.6,7,2,0,0,35.7,0
5.0,20.5,1,1,69.4,2,7,1,3,34.5,0
28.9,27.5,1,1,94.3,2,4,2,2,52.8,0
8.0,11.5,2,1,39.4,5,4,2,2,31.6,0
129.3,27.0,1,0,60.6,4,4,3,0,53.4,0
63.5,18.2,0,3,78.2,5,2,0,2,35.1,0
26.1,24.8,3,2,66.9,6,2,0,0,33.0,0
4.3,21.5,2,0,37.1,2,1,1,1,26.7,0
24.2,30.9,2,1,54.6,6,2,3,0,31.2,0
25.6,17.8,1,2,32.6,6,3,0,0,33.0,0
85.0,26.8,2,0,66.6,7,4,1,1,49.8,0
66.0,21.3,0,1,55.1,2,6,0,1,35.4,0
141.8,22.1,1,1,13.9,5,4,1,0,26.1,0
41.5,21.9,3,1,76.8,4,0,0,2,45.6,0
8.3,17.9,0,2,24.8,7,0,3,1,30.1,0
81.2,22.9,2,0,32.1,0,4,2,2,39.2,0
93.0,22.6,1,0,84.8,8,2,2,0,44.8,0
53.6,24.4,0,0,65.3,5,1,0,0,23.5,0
95.8,23.5,2,0,76.1,5,7,2,0,43.2,0
44.3,27.8,0,1,74.0,2,4,1,0,27.8,0
48.1,28.5,1,1,85.8,4,2,2,0,37.0,0
36.3,16.7,0,0,60.6,6,1,2,1,21.9,0
1.7,28.2,3,1,63.2,5,0,1,1,37.8,0
7.4,15.9,0,1,56.3,5,3,0,0,23.5,0
2.1,26.5,0,0,86.6,7,1,1,1,28.6,0
65.8,26.7,0,1,54.4,5,2,2,0,37.6,0
24.5,11.5,3,1,64.8,2,6,1,0,41.1,0
46.2,23.6,2,1,72.6,1,0,2,0,36.5,0
154.8,20.2,2,0,59.6,4,0,1,0,37.8,0
18.6,18.4,1,1,40.8,4,5,2,1,33.1,0
34.3,31.1,1,3,49.3,4,1,1,1,21.8,0
91.6,19.1,0,1,65.0,5,1,2,0,40.8,0
16.9,18.2,1,0,66.6,11,6,0,2,35.4,0
5.2,23.5,0,1,76.2,4,4,1,1,33.9,0
22.2,27.1,3,0,33.4,5,0,0,3,35.1,0
11.4,22.2,2,1,65.1,3,1,0,1,32.1,0
172.6,30.0,1,0,83.6,3,2,0,0,36.9,0
107.3,26.2,0,0,75.1,4,1,0,1,17.3,0
65.2,9.9,2,1,15.5,6,1,1,0,34.9,0
133.3,19.8,0,0,65.6,6,0,1,0,31.8,0
105.8,19.6,0,1,35.8,4,2,2,0,28.7,0
13.4,25.9,0,0,46.8,5,0,0,0,11.3,0
145.0,8.0,1,0,34.2,5,1,3,0,36.1,0
50.4,38.0,2,2,52.9,4,1,0,1,33.2,0
107.1,26.2,0,2,93.5,2,2,0,1,39.1,0
147.2,23.9,0,0,56.1,6,5,2,0,40.0,0
24.9,30.1,1,1,54.2,4,3,1,0,26.3,0
7.6,37.1,2,0,23.9,4,3,0,0,21.4,0
16.8,28.2,0,1,45.4,4,2,1,0,22.6,0
36.2,28.7,0,1,81.5,5,2,0,0,23.7,0
110.7,23.8,3,0,29.7,1,4,0,0,34.1,0
128.1,22.2,3,1,48.4,3,2,0,1,37.8,0
0.5,20.1,3,0,25.1,6,6,0,0,27.5,0
46.5,18.0,2,0,34.9,9,1,0,0,30.3,0
35.1,18.9,0,2,52.2,9,1,2,0,32.7,0
16.3,14.9,0,1,52.3,3,2,1,0,20.4,0
8.3,22.5,0,1,87.3,0,4,1,0,24.1,0
26.8,12.9,0,1,16.8,5,0,2,2,24.7,0
186.1,24.1,3,1,80.7,6,3,1,0,55.0,0
25.4,22.8,2,1,28.6,5,3,1,0,26.6,0
47.5,23.9,2,0,79.3,6,2,1,0,38.9,0
78.9,19.9,0,1,59.1,4,1,1,1,27.1,0
29.4,38.0,3,1,49.3,7,1,1,0,34.1,0
231.9,31.2,2,1,39.6,4,3,0,0,41.6,0
213.3,15.5,0,1,90.1,7,6,0,1,51.3,0
18.9,24.4,2,0,71.8,6,1,0,0,25.4,0
44.7,19.4,0,1,63.3,7,1,1,3,38.9,0
23.3,16.9,0,0,71.6,2,1,1,0,22.5,0
21.8,15.0,1,1,7.9,6,3,1,2,21.0,0
2.4,25.6,1,1,90.0,7,3,0,0,28.2,0
61.1,18.9,0,2,90.3,4,3,2,0,43.9,0
45.4,28.8,0,1,48.2,7,6,1,0,21.8,0
3.4,29.0,3,2,34.0,9,3,0,0,26.5,0
21.2,31.2,1,1,17.0,3,1,0,0,9.7,0
155.3,17.9,2,3,93.5,8,5,1,2,66.2,1
17.8,25.9,0,1,27.5,6,3,0,0,15.1,0
10.2,26.8,0,3,63.5,6,1,0,0,23.1,0
43.7,20.2,0,0,22.2,4,4,0,0,13.8,0
275.9,18.4,0,0,87.6,7,2,3,3,62.0,1
18.0,32.7,0,1,15.0,5,2,0,1,9.7,0
72.5,24.4,0,3,79.0,5,7,0,1,43.7,0
93.2,26.8,1,1,34.6,6,2,1,0,24.0,0
17.6,18.1,0,0,59.1,5,1,0,1,17.8,0
84.7,15.7,2,1,54.5,2,3,2,1,46.5,0
29.8,19.6,0,1,38.7,3,8,1,2,31.6,0
65.0,22.3,1,0,69.3,2,1,1,0,26.6,0
65.2,16.6,0,1,54.4,4,2,0,2,31.3,0
49.9,22.9,1,3,45.6,1,3,1,0,28.9,0
6.2,12.9,0,2,55.0,3,0,0,0,17.5,0
117.2,16.3,3,0,25.0,4,0,0,1,29.6,0
25.1,27.0,2,0,38.8,3,5,0,0,18.3,0
13.4,26.6,1,0,63.9,8,2,0,2,27.6,0
2.7,20.6,0,0,77.5,2,1,1,0,25.6,0
58.1,16.9,1,0,79.6,5,2,0,0,33.9,0
73.6,16.8,2,2,63.6,8,1,0,0,39.3,0
1.1,20.8,0,0,83.2,3,4,0,0,24.6,0
46.6,26.9,1,2,94.0,4,4,1,3,51.8,0
16.7,28.6,2,2,22.2,6,6,0,0,25.9,0
67.3,20.0,2,0,68.8,5,2,0,0,27.1,0
12.5,16.1,2,3,61.2,6,2,1,0,36.4,0
76.3,24.6,2,1,44.8,6,1,1,2,42.3,0
31.8,18.1,3,1,79.0,3,2,2,0,46.4,0
179.4,19.9,1,0,88.4,0,0,1,1,46.6,0
9.6,31.0,1,1,62.6,10,1,0,0,25.4,0
27.1,28.0,2,0,44.3,3,2,1,1,22.9,0
7.8,23.9,1,1,44.6,2,1,0,1,26.6,0
168.1,15.4,3,0,65.3,3,0,3,3,60.4,1
136.4,24.3,0,1,86.8,6,3,2,0,36.5,0
19.4,29.4,1,0,26.5,4,0,2,0,18.6,0
70.1,20.7,0,0,35.7,2,2,0,1,19.8,0
110.5,31.1,0,1,45.3,4,2,2,0,34.5,0
52.7,30.8,0,1,80.9,4,3,2,1,37.1,0
49.0,33.0,2,1,54.4,3,0,2,1,34.1,0
18.0,24.8,0,0,79.1,4,1,2,2,29.8,0
6.4,26.5,2,2,72.5,3,5,1,1,39.8,0
147.9,31.5,1,1,62.3,2,1,0,0,34.5,0
149.9,25.7,0,0,60.1,1,2,1,0,40.6,0
65.2,20.0,0,1,45.5,5,0,0,0,18.2,0
26.9,20.3,1,1,8.7,6,6,2,1,24.9,0
27.9,24.4,2,0,49.2,3,2,0,1,30.6,0
84.1,15.3,2,1,85.2,6,2,0,0,39.7,0
147.8,22.1,2,2,25.3,6,3,0,3,49.1,0
141.8,29.6,3,1,65.0,3,2,1,0,47.5,0
98.4,9.9,1,0,74.9,8,5,1,2,47.9,0
66.8,32.2,3,2,43.5,4,3,1,0,44.7,0
5.7,29.7,2,0,48.8,10,3,0,3,38.2,0
11.5,20.2,2,3,72.5,4,1,0,0,36.0,0
148.7,26.3,0,0,56.6,6,3,2,2,34.8,0
60.6,23.0,3,1,69.1,5,5,3,0,44.8,0
0.6,30.4,1,1,54.1,5,2,0,0,22.0,0
7.0,28.9,2,0,76.4,3,3,0,3,30.1,0
70.8,14.6,0,2,78.9,10,1,3,0,37.4,0
0.3,26.5,1,1,80.1,8,1,0,1,32.2,0
11.4,21.8,0,0,15.5,4,2,2,0,11.5,0
51.7,23.5,0,1,25.4,6,5,0,1,19.9,0
76.5,18.6,0,1,71.4,8,2,2,1,36.6,0
68.6,33.5,2,0,72.5,3,1,0,1,38.8,0
16.5,29.2,0,3,77.6,6,2,0,0,33.1,0
81.0,18.6,0,2,71.3,4,0,1,0,41.0,0
17.6,15.0,0,0,69.2,6,1,0,0,22.0,0
25.6,20.7,1,1,64.0,6,2,0,1,34.6,0
89.2,25.6,0,0,42.7,7,1,0,1,20.5,0
68.2,24.4,0,2,31.6,4,0,1,1,19.4,0
123.0,30.5,1,3,69.2,5,3,0,2,49.5,0
69.7,27.7,1,0,51.9,4,1,1,0,26.2,0
54.6,28.8,0,2,38.1,5,4,0,2,35.3,0
6.4,25.0,0,1,39.2,0,5,0,0,14.3,0
29.8,14.7,0,0,51.6,6,4,0,0,16.8,0
20.0,21.8,3,3,95.2,6,0,2,0,47.4,0
18.2,29.4,1,1,61.7,3,1,0,0,22.3,0
234.8,22.7,1,1,84.1,0,2,1,0,52.1,0
32.5,26.0,0,1,63.4,10,4,0,0,26.1,0
144.7,21.1,1,0,57.0,6,6,3,3,61.2,1
64.8,16.8,0,0,62.1,3,1,0,0,16.3,0
102.9,22.3,0,3,47.4,4,0,0,0,31.6,0
45.4,24.9,1,1,49.9,2,3,1,1,33.3,0
55.9,19.1,1,2,75.6,4,1,1,0,36.3,0
44.1,21.6,0,0,48.7,3,4,2,0,27.6,0
14.1,17.4,1,1,55.5,4,1,3,1,32.0,0
83.3,29.7,3,3,70.3,4,2,1,0,42.4,0
21.4,21.2,1,0,84.6,3,3,1,3,39.9,0
1.6,31.7,1,0,25.1,7,3,0,1,15.2,0
67.4,32.2,3,1,47.1,5,3,0,0,37.4,0
12.7,22.5,2,0,18.7,7,3,0,3,25.0,0
183.4,16.9,1,0,50.2,5,4,0,2,46.7,0
200.0,10.5,2,2,19.5,4,1,0,0,43.1,0
160.1,14.2,0,3,70.2,5,2,2,0,51.0,0
30.0,14.8,1,1,63.3,1,4,1,0,34.7,0
1.0,31.3,0,2,50.0,2,2,0,0,17.4,0
171.3,23.7,0,2,17.7,6,2,1,1,39.3,0
36.3,25.3,1,1,46.4,5,3,0,0,22.4,0
221.1,9.7,0,0,33.7,4,2,1,0,33.3,0
215.4,15.8,1,0,27.2,6,1,0,0,34.2,0
124.6,28.3,1,0,84.4,6,3,2,1,52.8,0
22.7,24.7,1,0,83.7,5,2,0,3,33.8,0
31.6,22.1,0,0,24.4,7,1,0,0,14.9,0
123.8,26.4,0,0,65.0,5,0,1,0,26.3,0
24.8,32.8,1,0,46.6,2,1,1,0,13.3,0
12.1,21.7,3,0,47.7,5,1,0,0,23.4,0
52.9,23.4,0,1,92.4,3,4,1,0,34.2,0
178.8,24.2,0,0,68.4,5,3,0,0,40.1,0
77.4,37.4,2,2,37.6,3,1,0,1,31.6,0
54.9,10.4,0,0,62.3,5,3,0,3,37.0,0
6.6,27.1,2,2,44.4,6,3,0,1,31.8,0
62.0,22.3,1,3,65.5,4,1,2,0,38.3,0
299.7,26.4,1,1,62.3,3,4,1,2,63.3,1
9.8,19.1,0,1,73.5,2,2,2,2,28.4,0
47.5,22.7,0,3,58.5,2,6,1,0,32.5,0
136.4,27.3,0,0,8.9,3,1,0,0,16.7,0
87.8,38.0,2,3,34.2,6,3,2,0,43.0,0
77.6,27.8,2,2,46.2,4,3,2,0,39.5,0
78.8,17.9,1,1,56.0,4,1,2,0,36.2,0
29.0,20.5,2,0,26.5,5,3,0,3,22.4,0
22.6,20.3,0,1,29.8,6,0,3,2,32.2,0
107.7,12.2,1,1,65.0,6,2,3,0,43.9,0
108.0,21.0,1,1,67.6,2,0,2,1,43.7,0
131.2,27.4,2,1,43.5,5,0,1,0,41.3,0
158.9,15.4,0,0,41.6,6,0,0,1,29.5,0
46.5,29.3,1,0,41.9,3,1,0,2,27.8,0
45.3,25.9,2,1,81.9,5,2,1,0,39.6,0
104.1,18.6,1,0,26.1,4,4,2,0,32.8,0
68.2,22.2,0,0,93.6,4,4,0,1,31.5,0
78.7,32.6,1,0,31.4,5,2,0,0,26.6,0
103.3,27.4,0,0,63.2,2,3,0,2,32.4,0
143.5,23.1,1,1,53.0,1,3,1,1,46.2,0
26.8,21.6,3,0,48.5,4,2,0,2,28.5,0
30.6,23.5,1,3,22.0,7,1,1,0,22.7,0
6.4,19.9,1,2,36.3,6,1,2,0,21.7,0
56.1,10.4,1,1,50.6,2,1,1,2,36.7,0
2.4,35.3,0,0,82.2,2,3,1,2,31.4,0
40.7,23.9,0,1,63.2,5,3,0,0,17.5,0
50.8,25.4,3,1,59.3,3,4,0,2,38.2,0
21.9,22.7,1,3,43.9,0,2,0,2,24.8,0
58.1,18.6,0,1,74.4,5,2,1,0,34.1,0
2.0,21.9,0,1,55.9,2,2,0,2,26.5,0
2.5,13.4,1,2,78.6,2,0,1,0,26.7,0
112.4,36.7,2,0,32.1,9,2,1,0,25.6,0
29.0,15.6,2,0,55.6,5,0,0,0,15.7,0
8.8,16.8,0,1,82.5,5,3,0,2,34.9,0
48.0,20.4,3,0,56.2,1,2,0,0,35.3,0
95.5,30.7,1,0,15.5,6,3,1,0,31.1,0
15.8,23.1,1,1,53.8,5,1,0,0,20.8,0
63.4,15.6,1,0,47.9,5,4,0,0,17.3,0
5.8,30.5,0,1,53.4,6,2,0,1,22.1,0
3.4,27.4,3,2,60.7,5,2,0,1,33.5,0
49.3,26.2,0,0,85.7,8,0,0,1,34.4,0
50.6,27.3,0,0,44.3,3,4,0,0,21.6,0
65.9,37.4,2,0,57.2,6,0,3,2,44.1,0
84.2,36.1,1,0,60.7,6,3,3,2,43.2,0
242.0,18.9,2,0,73.1,3,2,2,0,61.8,1
47.2,32.7,1,0,42.3,8,5,2,1,31.2,0
25.4,25.3,1,1,41.5,2,6,0,0,18.3,0
103.1,26.0,3,0,23.8,6,2,0,0,31.3,0
20.5,12.8,0,1,70.3,1,2,0,0,25.1,0
37.6,22.0,2,2,70.9,4,4,0,2,47.8,0
5.3,18.1,0,2,29.0,8,3,0,3,18.3,0
1.7,28.0,2,1,64.3,2,3,1,1,38.1,0
213.7,29.4,0,0,72.7,9,4,2,0,49.2,0
117.5,10.6,1,1,60.2,8,3,2,0,45.6,0
77.4,22.9,2,0,13.0,3,1,1,0,17.9,0
34.2,29.7,1,0,72.1,5,0,0,0,21.9,0
12.4,21.9,2,2,23.6,6,6,0,1,31.8,0
11.1,27.4,2,0,48.8,4,2,0,0,22.1,0
18.7,25.1,2,0,60.7,5,1,3,0,34.1,0
51.8,25.0,3,2,56.7,6,3,2,1,46.1,0
81.5,21.4,1,2,27.4,4,3,0,0,26.6,0
70.2,15.7,0,0,52.3,3,2,2,1,29.9,0
21.3,16.3,0,0,64.6,7,2,1,0,18.1,0
201.4,27.3,0,1,39.1,5,4,0,2,39.0,0
87.0,23.1,0,1,67.4,5,3,0,2,36.8,0
52.5,22.2,1,0,21.9,7,2,0,2,22.7,0
61.5,20.5,0,1,61.0,7,5,0,0,29.9,0
35.4,21.2,0,3,85.0,7,1,0,3,38.1,0
18.5,29.3,0,0,53.6,4,0,0,0,11.6,0
28.6,21.0,2,2,23.1,4,5,2,2,42.5,0
92.2,15.0,1,3,73.5,4,1,1,0,43.1,0
0.9,27.5,1,0,49.7,3,3,0,3,25.6,0
8.0,21.8,2,2,87.1,2,3,0,0,37.6,0
3.1,23.2,0,0,48.0,5,2,0,1,18.6,0
2.7,32.6,3,1,41.9,6,3,0,3,33.6,0
125.7,22.9,1,2,79.5,6,3,0,1,45.4,0
79.1,24.7,0,0,68.9,6,2,1,1,33.1,0
41.8,15.9,1,1,89.5,5,2,0,1,36.6,0
6.7,21.7,2,2,34.2,8,1,0,3,38.8,0
44.0,26.7,1,0,46.7,8,3,1,1,31.9,0
41.7,13.7,2,0,70.7,6,3,0,0,33.9,0
12.4,24.2,0,0,27.5,4,4,1,0,11.0,0
37.0,23.6,0,1,89.6,3,0,0,1,38.2,0
33.0,23.2,0,3,47.7,4,2,2,0,24.6,0
62.2,29.2,0,2,45.8,4,4,0,0,23.1,0
65.5,25.0,0,1,57.7,3,0,0,1,22.0,0
3.0,31.9,3,1,42.6,6,3,2,0,33.5,0
30.5,17.0,0,0,79.5,1,6,2,0,28.4,0
63.9,23.8,1,0,72.9,5,0,0,1,22.7,0
45.5,23.5,1,1,36.6,2,3,0,2,31.9,0
126.2,16.6,2,1,54.8,6,4,0,0,37.8,0
69.9,28.7,3,1,65.1,4,1,0,0,28.1,0
11.6,36.9,2,3,63.6,5,3,0,0,32.3,0
4.8,22.9,3,1,50.9,0,1,0,2,33.1,0
66.8,26.0,2,1,19.2,7,4,2,0,27.4,0
1.7,23.5,3,0,51.7,9,0,1,0,31.2,0
57.3,18.7,2,3,87.9,5,2,0,2,48.5,0
183.1,12.1,0,2,61.0,6,3,2,1,46.0,0
55.7,18.8,1,2,55.1,4,0,1,2,36.3,0
31.9,14.6,1,1,52.1,2,3,1,0,33.4,0
67.0,33.2,1,1,43.9,4,2,0,0,25.3,0
39.8,22.3,0,1,63.9,8,0,0,0,19.7,0
51.3,20.9,1,0,71.7,4,0,1,1,27.5,0
184.5,28.3,3,1,23.8,7,2,1,0,52.4,0
31.7,16.3,0,2,43.5,4,3,2,0,26.6,0
211.2,18.4,2,0,31.3,4,4,1,3,51.0,0
153.2,23.4,2,0,37.3,6,1,0,0,37.2,0
14.2,29.2,3,1,84.7,3,4,0,1,42.6,0
4.7,26.0,3,0,77.1,2,4,0,1,29.7,0
6.9,24.5,2,1,69.8,4,3,2,0,36.8,0
1.2,23.5,1,1,53.6,4,4,0,1,23.2,0
6.4,25.4,0,0,27.3,5,4,0,0,16.4,0
74.7,24.2,1,2,40.9,4,4,1,0,28.3,0
4.8,16.8,2,1,76.7,6,1,1,0,35.6,0
25.0,23.3,2,2,40.4,5,2,1,1,25.0,0
121.1,16.6,2,2,16.4,9,0,1,3,44.9,0
1.5,23.5,0,2,41.0,7,3,0,0,21.4,0
109.5,20.1,1,0,35.3,7,2,1,2,31.3,0
21.5,38.0,0,0,45.5,2,1,0,2,21.7,0
8.2,22.8,0,0,27.9,7,2,1,0,13.5,0
77.6,14.6,0,1,35.5,1,3,1,0,15.1,0
64.4,22.2,0,2,55.2,3,1,1,0,28.6,0
136.5,26.1,2,1,60.7,9,1,0,0,36.8,0
86.3,33.0,0,2,71.8,4,3,1,0,39.0,0
105.8,19.5,0,0,45.2,5,5,0,1,34.1,0
21.5,13.5,3,0,50.0,6,1,0,1,28.1,0
12.7,27.9,1,2,88.5,2,1,0,0,24.9,0
90.3,14.7,0,1,72.5,4,1,0,0,28.0,0
106.9,20.4,0,2,55.8,8,3,0,0,35.0,0
302.7,21.5,0,0,73.7,4,2,0,0,45.9,0
34.6,22.6,0,3,51.2,6,3,3,1,40.1,0
30.2,27.1,0,1,62.8,3,2,0,0,24.5,0
97.4,18.9,1,2,51.7,5,1,1,0,39.2,0
27.1,21.4,0,0,33.6,3,2,0,0,13.9,0
173.6,22.9,1,1,61.9,6,2,1,0,36.4,0
127.1,23.9,2,2,94.3,1,2,2,1,54.7,0
36.4,23.6,1,2,81.8,3,6,0,2,40.1,0
90.3,25.6,3,0,35.4,6,2,1,1,38.4,0
91.3,28.1,1,0,31.5,5,4,1,1,20.7,0
7.1,25.4,1,1,32.6,2,6,1,0,20.3,0
151.3,25.7,2,0,32.4,8,0,0,2,36.8,0
45.7,13.5,0,1,36.0,5,4,2,0,28.1,0
113.8,23.3,0,0,59.2,4,2,1,0,38.9,0
25.1,25.9,1,0,31.8,2,2,0,0,18.1,0
146.8,27.4,1,1,13.5,4,6,0,1,29.7,0
32.0,18.8,2,1,44.6,3,0,1,0,23.4,0
0.7,19.0,3,1,53.9,7,4,1,1,34.7,0
153.3,19.6,1,3,59.2,7,0,0,0,38.8,0
6.2,26.2,1,0,83.2,6,3,1,0,30.4,0
25.0,29.2,1,1,85.3,9,3,1,1,34.0,0
194.8,20.6,3,0,33.6,6,0,1,0,42.6,0
195.5,28.4,2,1,49.1,2,1,2,2,52.5,0
55.4,23.7,3,0,30.6,5,2,0,0,28.6,0
64.9,22.3,0,0,14.3,2,1,0,0,9.4,0
38.7,21.7,2,0,66.3,9,1,1,2,34.6,0
22.6,27.5,0,0,34.2,3,5,2,0,18.9,0
25.9,25.0,0,2,48.2,3,7,1,0,29.8,0
72.6,36.7,3,1,58.2,4,3,0,3,42.6,0
90.7,17.9,0,3,34.0,0,3,3,0,38.7,0
101.9,26.1,3,1,77.1,3,2,0,1,47.0,0
101.3,19.8,0,0,33.3,4,3,2,2,28.7,0
6.2,17.8,2,0,28.9,5,3,2,0,30.6,0
44.3,22.9,0,0,28.5,3,3,0,1,17.1,0
3.9,23.8,1,0,72.0,6,3,2,1,30.4,0
51.8,38.0,0,1,76.5,4,4,0,0,35.4,0
37.9,21.9,1,1,73.5,2,2,0,1,30.1,0
142.1,16.2,0,0,37.8,6,1,0,2,31.5,0
28.1,24.6,1,0,21.8,3,6,0,0,18.2,0
8.1,10.6,0,0,30.6,5,2,1,0,19.6,0
10.0,22.4,0,0,50.6,3,1,0,0,20.2,0
93.2,23.1,0,0,15.5,5,2,0,3,25.1,0
62.6,27.8,1,2,50.6,7,2,0,0,29.6,0
6.9,28.8,2,0,81.3,4,4,2,0,40.6,0
5.7,20.0,2,1,24.9,2,3,2,0,24.3,0
78.5,22.1,0,0,95.0,3,4,0,0,32.8,0
4.9,18.4,1,0,68.9,6,4,0,0,21.6,0
112.1,16.2,2,2,59.8,5,1,1,0,49.3,0
79.6,24.9,0,1,74.7,10,1,1,2,42.5,0
5.5,15.4,1,0,79.2,3,0,1,2,37.2,0
5.8,20.5,1,2,70.0,4,2,1,0,27.9,0
280.5,17.0,0,0,79.7,5,3,0,0,52.2,0
30.5,26.3,0,0,31.2,6,0,0,0,12.9,0
30.1,33.8,0,2,26.2,6,2,0,0,18.1,0
108.9,15.2,1,1,44.2,6,1,0,0,35.6,0
191.2,11.9,0,0,31.0,1,1,1,0,26.3,0
277.5,22.3,0,0,78.6,0,2,2,0,49.7,0
91.0,23.1,0,2,42.6,2,1,3,0,31.8,0
30.7,24.3,0,0,59.8,6,2,2,0,19.8,0
5.7,20.3,0,0,70.3,4,4,0,0,11.9,0
97.6,21.8,3,1,75.6,2,1,1,0,43.5,0
53.1,25.2,0,2,65.7,3,5,1,0,35.4,0
35.9,29.2,1,0,57.7,7,1,2,1,30.8,0
153.9,11.3,1,2,58.0,4,2,0,0,35.7,0
7.7,20.8,1,1,84.4,4,1,3,0,41.1,0
44.1,24.3,1,1,65.0,4,2,1,1,28.5,0
0.7,17.5,0,1,13.6,3,1,0,0,0.0,0
41.1,33.4,2,3,75.7,4,2,0,0,31.4,0
3.8,19.2,1,0,30.1,3,2,0,0,19.6,0
8.2,22.8,2,0,86.8,2,2,1,2,36.7,0
8.1,26.3,1,2,53.0,5,3,0,0,29.8,0
